"Kulcs","Feladattípus","Fölérendelt","Összefoglalás","Állapot","Hozzárendelt személy","Sprint","Start date","Következtetett kezdő dátum","Határidő","Következtetett határidő","Issue color"
"SCRUM-398","Story","SCRUM-308","Add Loader Effect During Fetch Requests","Kész","Patrik Kőszegi","","2025/03/08","","2025/03/10","","purple"
"SCRUM-399","Feladat","SCRUM-308","UI Update for Loader Effect","Kész","Patrik Kőszegi","","2025/03/08","","2025/03/10","","purple"
"SCRUM-400","Feladat","SCRUM-308","Integrate Loader with Fetch Requests","Kész","Patrik Kőszegi","","2025/03/08","","2025/03/10","","purple"
"SCRUM-401","Feladat","SCRUM-308","Handle Edge Cases","Kész","Patrik Kőszegi","","2025/03/08","","2025/03/10","","purple"
"SCRUM-474","Story","SCRUM-308","Profile modification fix","Kész","Patrik Kőszegi","","2025/03/07","","2025/03/08","","purple"
"SCRUM-475","Feladat","SCRUM-308","Investigate the root cause of the 500 error","Kész","Patrik Kőszegi","","2025/03/07","","2025/03/08","","purple"
"SCRUM-476","Feladat","SCRUM-308","Inspect the request payload","Kész","Patrik Kőszegi","","2025/03/07","","2025/03/08","","purple"
"SCRUM-477","Feladat","SCRUM-308","Check the API endpoint handling the modification","Kész","Patrik Kőszegi","","2025/03/07","","2025/03/08","","purple"
"SCRUM-478","Feladat","SCRUM-308","Update or modify the parsing logic (if required)","Kész","Patrik Kőszegi","","2025/03/07","","2025/03/08","","purple"
"SCRUM-508","Story","SCRUM-308","Implement User Deletion API for Self-Profile Deletion","Kész","Patrik Kőszegi","","2025/03/09","","2025/03/10","","purple"
"SCRUM-509","Feladat","SCRUM-308","New button","Kész","Patrik Kőszegi","","2025/03/09","","2025/03/10","","purple"
"SCRUM-510","Feladat","SCRUM-308","Modal","Kész","Patrik Kőszegi","","2025/03/09","","2025/03/10","","purple"
"SCRUM-511","Feladat","SCRUM-308","Send request","Kész","Patrik Kőszegi","","2025/03/09","","2025/03/10","","purple"
"SCRUM-512","Feladat","SCRUM-308","Response handling","Kész","Patrik Kőszegi","","2025/03/09","","2025/03/10","","purple"
"SCRUM-513","Story","SCRUM-308","Display Username When Inspecting User Profiles","Kész","Patrik Kőszegi","","2025/03/10","","2025/03/12","","purple"
"SCRUM-514","Feladat","SCRUM-308","Display","Kész","Patrik Kőszegi","","2025/03/10","","2025/03/12","","purple"
"SCRUM-515","Feladat","SCRUM-308","Request","Kész","Patrik Kőszegi","","2025/03/10","","2025/03/12","","purple"
"SCRUM-516","Feladat","SCRUM-308","Response","Kész","Patrik Kőszegi","","2025/03/10","","2025/03/12","","purple"
"SCRUM-517","Feladat","SCRUM-308","Styles","Kész","Patrik Kőszegi","","2025/03/10","","2025/03/12","","purple"
"SCRUM-521","Story","SCRUM-308"," Add Follow/Unfollow Functionality to User Profiles in Professional Search","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/16","","purple"
"SCRUM-522","Feladat","SCRUM-308","Request","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/16","","purple"
"SCRUM-523","Feladat","SCRUM-308"," Button UI","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/16","","purple"
"SCRUM-524","Feladat","SCRUM-308","Correct update","Kész","Patrik Kőszegi","","2025/03/13","","2025/03/16","","purple"
"SCRUM-528","Story","SCRUM-308","Display Group Events as Cards with Participation Options","Kész","Patrik Kőszegi","","2025/03/15","","2025/03/16","","purple"
"SCRUM-529","Feladat","SCRUM-308","Display Event Cards","Kész","Patrik Kőszegi","","2025/03/15","","2025/03/16","","purple"
"SCRUM-530","Feladat","SCRUM-308","Participation/Interest Buttons","Kész","Patrik Kőszegi","","2025/03/15","","2025/03/16","","purple"
"SCRUM-531","Feladat","SCRUM-308","Persist User Selections","Kész","Patrik Kőszegi","","2025/03/15","","2025/03/16","","purple"
"SCRUM-554","Story","SCRUM-308","Display Event Creator Information","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/19","","purple"
"SCRUM-555","Feladat","SCRUM-308","Fetch Creator Data","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/19","","purple"
"SCRUM-556","Feladat","SCRUM-308","Display Creator Information","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/19","","purple"
"SCRUM-557","Feladat","SCRUM-308","Improve UI Styling","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/19","","purple"
"SCRUM-309","Eposz","","Social & Community Features","Kész","Patrik Kőszegi","","2025/02/27","2025/02/27","2025/03/08","2025/03/08","green"
"SCRUM-278","Story","SCRUM-309","Prefer not to say at gender selection","Kész","Patrik Kőszegi","","2025/03/01","","2025/03/03","","purple"
"SCRUM-279","Feladat","SCRUM-309"," Gender selection UI","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-280","Feladat","SCRUM-309","New gender value display","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-317","Story","SCRUM-309","Improve Self-Profile Data Structure and Language Support","Kész","Patrik Kőszegi","","2025/03/01","","2025/03/02","","purple"
"SCRUM-318","Feladat","SCRUM-309","Analyze and Define New Data Order","Kész","Patrik Kőszegi","","2025/03/01","","2025/03/02","","purple"
"SCRUM-319","Feladat","SCRUM-309","Modify Data Structure","Kész","Patrik Kőszegi","","2025/03/01","","2025/03/02","","purple"
"SCRUM-320","Feladat","SCRUM-309","Implement Language Change","Kész","Patrik Kőszegi","","2025/03/01","","2025/03/02","","purple"
"SCRUM-368","Story","SCRUM-309","Implement a Color Theme Customization Page","Kész","Patrik Kőszegi","","2025/03/09","","2025/03/11","","purple"
"SCRUM-369","Feladat","SCRUM-309","Create component","Kész","Patrik Kőszegi","","2025/03/09","","2025/03/11","","purple"
"SCRUM-370","Feladat","SCRUM-309","Showcase selected color","Kész","Patrik Kőszegi","","2025/03/09","","2025/03/11","","purple"
"SCRUM-371","Feladat","SCRUM-309","Color selection input","Kész","Patrik Kőszegi","","2025/03/09","","2025/03/11","","purple"
"SCRUM-372","Feladat","SCRUM-309","Update :root variables","Kész","Patrik Kőszegi","","2025/03/09","","2025/03/11","","purple"
"SCRUM-373","Feladat","SCRUM-309","Apply button","Kész","Patrik Kőszegi","","2025/03/09","","2025/03/11","","purple"
"SCRUM-483","Story","SCRUM-309","Date and day displaying","Kész","Patrik Kőszegi","","2025/03/12","","2025/03/12","","purple"
"SCRUM-484","Feladat","SCRUM-309","Identify date display logic on the main site","Kész","Patrik Kőszegi","","2025/03/12","","2025/03/12","","purple"
"SCRUM-485","Feladat","SCRUM-309","Update the month format to Hungarian","Kész","Patrik Kőszegi","","2025/03/12","","2025/03/12","","purple"
"SCRUM-310","Eposz","","Code Optimization & Performance Improvements","Kész","Patrik Kőszegi","","2025/01/01","2025/01/01","2025/03/21","2025/03/21","green"
"SCRUM-110","Story","SCRUM-310","Optimize and clean up project","Kész","Patrik Kőszegi","","2025/01/01","","2025/02/15","","purple"
"SCRUM-111","Feladat","SCRUM-310","Remove unused PHP files and console logs","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-112","Feladat","SCRUM-310","Rearrange files into better structured folders","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-113","Feladat","SCRUM-310","Refactor login, search, and registration services","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-114","Feladat","SCRUM-310","Rename and organize components for clarity","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-226","Story","SCRUM-310","Code Optimization and Cleanup","Kész","Patrik Kőszegi","","2025/02/13","","2025/02/21","","purple"
"SCRUM-227","Feladat","SCRUM-310","Rename components for better clarity","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-228","Feladat","SCRUM-310","Remove unnecessary console logs","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-229","Feladat","SCRUM-310","Clean up unused components","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-230","Feladat","SCRUM-310","Optimize component imports","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-231","Feladat","SCRUM-310","Standardize naming conventions","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-232","Feladat","SCRUM-310","Remove deprecated animation codes","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-233","Feladat","SCRUM-310","Fix component file organization","Kész","Patrik Kőszegi","","","","","","purple"
"SCRUM-340","Story","SCRUM-310","Button Standardization","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/03","","purple"
"SCRUM-341","Feladat","SCRUM-310","Refactor Simple Buttons to use app-button Component","Kész","Patrik Kőszegi","","2025/03/02","","2025/03/02","","purple"
"SCRUM-402","Story","SCRUM-310","Refactor Interfaces into Separate Files","Kész","Patrik Kőszegi","","2025/03/08","","2025/03/09","","purple"
"SCRUM-403","Feladat","SCRUM-310","Identify Interfaces in the Main-Site Component","Kész","Patrik Kőszegi","","2025/03/08","","2025/03/09","","purple"
"SCRUM-404","Feladat","SCRUM-310","Create Separate Interface Files","Kész","Patrik Kőszegi","","2025/03/08","","2025/03/09","","purple"
"SCRUM-405","Feladat","SCRUM-310","Update Imports and References","Kész","Patrik Kőszegi","","2025/03/08","","2025/03/09","","purple"
"SCRUM-406","Story","SCRUM-310","Rename Profile Component to Other-Profiles","Kész","Patrik Kőszegi","","2025/03/10","","2025/03/10","","purple"
"SCRUM-407","Feladat","SCRUM-310","Rename Component File and Class","Kész","Patrik Kőszegi","","2025/03/10","","2025/03/10","","purple"
"SCRUM-408","Feladat","SCRUM-310","Update Imports and References","Kész","Patrik Kőszegi","","2025/03/10","","2025/03/10","","purple"
"SCRUM-409","Feladat","SCRUM-310","Verify Functionality","Kész","Patrik Kőszegi","","2025/03/10","","2025/03/10","","purple"
"SCRUM-414","Story","SCRUM-310","Add Comments to All Components for Better Readability","Kész","Patrik Kőszegi","","2025/03/15","","2025/03/21","","purple"
"SCRUM-415","Feladat","SCRUM-310","Review All Components","Kész","Patrik Kőszegi","","2025/03/15","","2025/03/21","","purple"
"SCRUM-416","Feladat","SCRUM-310","Add Comments to Each Component","Kész","Patrik Kőszegi","","2025/03/15","","2025/03/21","","purple"
"SCRUM-417","Feladat","SCRUM-310","Comment Consistency","Kész","Patrik Kőszegi","","2025/03/15","","2025/03/21","","purple"
"SCRUM-418","Story","SCRUM-310","Move Search Bar Component to Main-Site Components Folder","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/03","","purple"
"SCRUM-419","Feladat","SCRUM-310","Change folder","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/03","","purple"
"SCRUM-420","Feladat","SCRUM-310","Update imports and references","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/03","","purple"
"SCRUM-421","Feladat","SCRUM-310","Search for deprecations","Kész","Patrik Kőszegi","","2025/03/03","","2025/03/03","","purple"
"SCRUM-458","Feladat","SCRUM-310","Refactor *ngIf to @if","Kész","Patrik Kőszegi","","2025/03/19","","2025/03/21","","purple"
"SCRUM-459","Feladat","SCRUM-310","Refactor *ngFor to @for","Kész","Patrik Kőszegi","","2025/03/19","","2025/03/21","","purple"
"SCRUM-460","Story","SCRUM-310","Refactor *ngIf and *ngFor to Modern @if and @for Syntax in TypeScript","Kész","Patrik Kőszegi","","2025/03/19","","2025/03/21","","purple"
"SCRUM-461","Story","SCRUM-310"," Prevent Duplicate Error Messages on Failed Fetch Requests","Kész","Patrik Kőszegi","","2025/03/18","","2025/03/19","","purple"
"SCRUM-462","Feladat","SCRUM-310","Identify the Source of Duplicate Errors","Kész","Patrik Kőszegi","","2025/03/18","","2025/03/19","","purple"
"SCRUM-463","Feladat","SCRUM-310","Fix the Error-Handling Logic","Kész","Patrik Kőszegi","","2025/03/18","","2025/03/19","","purple"
"SCRUM-469","Story","SCRUM-310","Correct usage of fetch service","Kész","Patrik Kőszegi","","2025/03/06","","2025/03/06","","purple"
"SCRUM-470","Feladat","SCRUM-310","Identify all instances of this.http.post and this.http.get in follow.service.ts","Kész","Patrik Kőszegi","","2025/03/06","","2025/03/06","","purple"
"SCRUM-471","Feladat","SCRUM-310","Replace this.http.post and this.http.get with fetch.post and fetch.get in follow.service.ts","Kész","Patrik Kőszegi","","2025/03/06","","2025/03/06","","purple"
"SCRUM-472","Feladat","SCRUM-310","Identify all instances of this.http.post and this.http.get in register.service.ts","Kész","Patrik Kőszegi","","2025/03/06","","2025/03/06","","purple"
"SCRUM-473","Feladat","SCRUM-310","Replace this.http.post and this.http.get with fetch.post and fetch.get in register.service.ts","Kész","Patrik Kőszegi","","2025/03/06","","2025/03/06","","purple"
"SCRUM-558","Story","SCRUM-310","Use Primary User ID for Profile Fetching & Remove User ID from Nested Data","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/18","","purple"
"SCRUM-559","Feladat","SCRUM-310","Update User Profile Component","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/18","","purple"
"SCRUM-560","Feladat","SCRUM-310","Refactor Data Handling","Kész","Patrik Kőszegi","","2025/03/17","","2025/03/18","","purple"
"SCRUM-422","Eposz","","Responsivity","Kész","Patrik Kőszegi","","2025/03/05","2025/03/05","2025/03/21","2025/03/21","dark_purple"
"SCRUM-423","Story","SCRUM-422","Responsivity for Desktop Devices","Kész","Patrik Kőszegi","","2025/03/05","","2025/03/21","","purple"
"SCRUM-424","Story","SCRUM-422","Responsivity for Laptops","Kész","Patrik Kőszegi","","2025/03/05","","2025/03/21","","purple"
"SCRUM-425","Story","SCRUM-422","Responsivity for Mobile Devices","Kész","Patrik Kőszegi","","2025/03/05","","2025/03/21","","purple"
"SCRUM-439","Feladat","SCRUM-422","Responsivity for general-components","Kész","Patrik Kőszegi","","2025/03/05","","2025/03/21","","purple"
"SCRUM-440","Feladat","SCRUM-422","Responsivity for root-page-components","Kész","Patrik Kőszegi","","2025/03/05","","2025/03/21","","purple"
"SCRUM-441","Feladat","SCRUM-422","Responsivity for main-site-components","Kész","Patrik Kőszegi","","2025/03/05","","2025/03/21","","purple"
